guest_id,segment_id,segment_name,length_of_stay,party_size,adr,is_family,is_couple,is_solo
0,1,Planned Leisure Couples,3.0,2.0,86.63547063395737,False,False,False
1,6,Last-Minute City Breakers,1.0,2.0,75.87510013242523,False,True,False
2,1,Planned Leisure Couples,4.0,1.0,87.78168486248698,False,False,False
3,1,Planned Leisure Couples,3.0,1.0,84.61130491342584,False,True,False
4,4,Luxury Families,3.0,2.0,159.4341210061297,True,False,False
5,1,Planned Leisure Couples,7.0,1.0,87.678812567959,False,True,False
6,3,Premium Couples,1.0,1.0,125.66392259033155,False,True,False
7,2,Early Planners,2.0,1.0,90.7719022821576,False,True,False
8,4,Luxury Families,3.0,3.0,217.589792436503,True,False,False
9,3,Premium Couples,2.0,2.0,116.72573671945568,False,True,False
10,3,Premium Couples,2.0,2.0,88.95565114326989,False,True,False
11,6,Last-Minute City Breakers,1.0,2.0,85.85621551462039,False,True,False
12,1,Planned Leisure Couples,7.0,1.0,80.3453164728988,False,False,False
13,1,Planned Leisure Couples,6.0,2.0,101.28272387206226,False,True,False
14,1,Planned Leisure Couples,4.0,1.0,64.36036023223605,False,True,False
15,2,Early Planners,2.0,1.0,87.22624720235663,False,True,False
16,1,Planned Leisure Couples,5.0,2.0,106.46275221643705,False,False,False
17,0,Budget Solo Travelers,3.0,1.0,53.96536468178243,False,False,True
18,0,Budget Solo Travelers,2.0,1.0,80.33147343472906,False,False,True
19,4,Luxury Families,2.0,2.0,261.15046009382905,False,False,False
20,1,Planned Leisure Couples,6.0,2.0,101.2477497766145,False,True,False
21,1,Planned Leisure Couples,4.0,2.0,93.80506479174709,False,False,False
22,1,Planned Leisure Couples,6.0,2.0,118.59524464779848,True,True,False
23,0,Budget Solo Travelers,1.0,1.0,39.83003041122605,False,False,True
24,6,Last-Minute City Breakers,1.0,2.0,60.40642547716614,False,True,False
25,0,Budget Solo Travelers,1.0,1.0,56.60894955355978,False,False,True
26,4,Luxury Families,4.0,3.0,191.74313730807944,True,False,False
27,1,Planned Leisure Couples,5.0,2.0,70.1027519424026,False,True,False
28,6,Last-Minute City Breakers,1.0,2.0,74.3720086913129,False,True,False
29,1,Planned Leisure Couples,7.0,2.0,75.16310688151314,False,True,False
30,3,Premium Couples,2.0,1.0,150.98378755952456,False,True,False
31,2,Early Planners,3.0,1.0,46.9562423872746,False,True,False
32,3,Premium Couples,3.0,1.0,111.60899059601178,False,True,False
33,7,Extended Stay Guests,9.0,3.0,73.56521510238122,False,False,False
34,3,Premium Couples,2.0,1.0,137.5541634116379,False,True,False
35,5,Last-Minute City Breakers,1.0,1.0,86.31303335882413,False,True,False
36,5,Last-Minute City Breakers,1.0,1.0,122.82853169350517,False,False,False
37,6,Last-Minute City Breakers,1.0,2.0,58.52392550317694,False,True,False
38,2,Early Planners,1.0,1.0,75.66826373670857,False,False,False
39,3,Premium Couples,3.0,2.0,124.11089595339021,False,True,False
40,1,Planned Leisure Couples,5.0,2.0,120.05970128784136,False,True,False
41,2,Early Planners,1.0,1.0,92.8766741353203,False,True,False
42,2,Early Planners,3.0,2.0,125.44851318313559,False,False,False
43,3,Premium Couples,3.0,1.0,151.53195392826032,False,True,False
44,6,Last-Minute City Breakers,1.0,1.0,102.68056415261242,False,True,False
45,2,Early Planners,3.0,1.0,93.19095042471352,False,False,False
46,3,Premium Couples,2.0,1.0,118.99000833094318,False,True,False
47,1,Planned Leisure Couples,8.0,2.0,110.20240023092532,False,True,False
48,2,Early Planners,3.0,2.0,141.89717508242546,False,True,False
49,2,Early Planners,1.0,1.0,99.75352939618959,False,True,False
50,3,Premium Couples,4.0,2.0,130.17428736293306,False,False,False
51,3,Premium Couples,4.0,1.0,124.48878615075904,False,True,False
52,6,Last-Minute City Breakers,1.0,1.0,78.44970775456267,False,False,False
53,1,Planned Leisure Couples,5.0,1.0,102.69430409959875,False,True,False
54,3,Premium Couples,3.0,1.0,148.25781580840777,False,True,False
55,1,Planned Leisure Couples,7.0,2.0,74.99816485577897,False,True,False
56,6,Last-Minute City Breakers,1.0,2.0,98.75588443379213,True,True,False
57,0,Budget Solo Travelers,3.0,1.0,76.77845545047916,False,False,True
58,5,Last-Minute City Breakers,1.0,1.0,87.91968656709946,False,True,True
59,0,Budget Solo Travelers,3.0,1.0,68.05928496562147,False,False,True
60,3,Premium Couples,2.0,2.0,103.3932147204829,False,True,True
61,6,Last-Minute City Breakers,2.0,2.0,68.83323225428923,False,True,False
62,3,Premium Couples,1.0,1.0,85.9474222362329,False,True,False
63,1,Planned Leisure Couples,3.0,2.0,53.95366617995491,False,True,False
64,4,Luxury Families,2.0,2.0,218.82655254720217,False,False,False
65,3,Premium Couples,2.0,2.0,73.70360289371338,False,True,False
66,1,Planned Leisure Couples,5.0,2.0,99.40509359979873,False,True,False
67,7,Extended Stay Guests,11.0,2.0,83.49404217395508,False,True,False
68,4,Luxury Families,2.0,4.0,175.0437359819997,True,True,False
69,4,Luxury Families,3.0,2.0,186.49314216362237,False,False,False
70,5,Last-Minute City Breakers,1.0,1.0,87.57811008123248,False,False,False
71,0,Budget Solo Travelers,1.0,1.0,60.68117237908589,False,False,True
72,0,Budget Solo Travelers,1.0,1.0,35.76275476445027,False,False,True
73,4,Luxury Families,1.0,2.0,173.62138465896572,False,False,False
74,3,Premium Couples,3.0,2.0,107.0752833181156,False,True,False
75,2,Early Planners,2.0,2.0,102.10279576318683,False,True,False
76,1,Planned Leisure Couples,6.0,2.0,96.89428769430828,False,True,False
77,7,Extended Stay Guests,8.0,1.0,94.28646166780884,False,True,True
78,1,Planned Leisure Couples,6.0,2.0,74.96431871027941,False,True,False
